Organisation Name,Email,Website URL,State,Type
University of Melbourne - Faculty of Science (Agriculture),Scifuture-students@unimelb.edu.au,https://science.unimelb.edu.au/about/contact-us,VIC,University - Agriculture/Science
University of Melbourne - Media Enquiries,media-enquiries@unimelb.edu.au,https://science.unimelb.edu.au/about/contact-us,VIC,University - Media
La Trobe University - Bendigo Regional Campus,enquiry@latrobe.edu.au,https://www.latrobe.edu.au/bendigo,VIC,University - Regional Campus
Charles Sturt University - School of Agricultural Environmental and Veterinary Sciences,SAEVS-HOS@csu.edu.au,https://science-health.csu.edu.au/schools/ag-environmental-vet,NSW,University - Agriculture
University of New England - General Enquiries,media@une.edu.au,https://www.une.edu.au/contact-us,NSW,University - Media
University of New England - Advertising,advertising@une.edu.au,https://www.une.edu.au/contact-us,NSW,University - Communications
University of New England - Events and PR,events.pr@une.edu.au,https://www.une.edu.au/contact-us,NSW,University - Communications
University of Queensland - School of Agriculture and Food Sustainability,agriculture@enquire.uq.edu.au,https://agriculture-food-sustainability.uq.edu.au/contact,QLD,University - Agriculture
University of Queensland - Faculty of Science Media,science.media@uq.edu.au,https://agriculture-food-sustainability.uq.edu.au/contact,QLD,University - Media
Federation University - General Enquiries,info@federation.edu.au,https://www.federation.edu.au/contact/,VIC,University - Regional
Deakin University - General Enquiries,enquire@deakin.edu.au,https://www.deakin.edu.au/contact,VIC,University - General
Deakin University - School of Life and Environmental Sciences,les-enquiries@deakin.edu.au,https://www.deakin.edu.au/life-environmental-sciences,VIC,University - Environmental Science
Deakin University - Research,research@deakin.edu.au,https://www.deakin.edu.au/contact,VIC,University - Research
University of Sydney - Sydney Institute of Agriculture,sia.information@sydney.edu.au,https://www.sydney.edu.au/agriculture/about/contact-and-locations.html,NSW,University - Agriculture
University of Sydney - School of Life and Environmental Sciences,soles.hos@sydney.edu.au,https://www.sydney.edu.au/agriculture/,NSW,University - Agriculture/Science
Murdoch University - General Enquiries,engage@murdoch.edu.au,https://www.murdoch.edu.au/contact-us,WA,University - General
Murdoch University - Student Advice,advice@murdoch.edu.au,https://www.murdoch.edu.au/contact-us,WA,University - General
University of Tasmania - Tasmanian Institute of Agriculture,tia.enquiries@utas.edu.au,https://www.utas.edu.au/tia/about/contact,TAS,University - Agriculture
University of Tasmania - Course Info,Course.Info@utas.edu.au,https://www.utas.edu.au/tia/about/contact,TAS,University - General
University of Adelaide - School of Agriculture Food and Wine,afw@adelaide.edu.au,https://adelaideuni.edu.au/about/school/agriculture-food-wine/,SA,University - Agriculture
James Cook University - General Enquiries,enquiries@jcu.edu.au,https://www.jcu.edu.au/about-jcu/contact-us,QLD,University - General
